Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_50_%_D_rank,50_200_%_D_rank
MILDEF,,84.0,22.0,56.0,30.0,71.0,22.0,8.0,0.0,10.0,4.0,94.0
MMGR-B,51.0,59.0,64.0,55.0,90.0,91.0,12.0,17.0,8.0,39.0,24.0,47.0
NMAN,25.0,41.0,60.0,43.0,76.0,77.0,44.0,46.0,34.0,24.0,29.0,25.0
NOTE,52.0,33.0,65.0,12.0,83.0,86.0,33.0,37.0,63.0,91.0,80.0,79.0
PCELL,,82.0,26.0,34.0,34.0,25.0,31.0,97.0,,81.0,38.0,15.0
REJL-B,50.0,57.0,60.0,38.0,75.0,82.0,45.0,39.0,40.0,56.0,48.0,87.0
SDIP-B,21.0,47.0,64.0,32.0,70.0,78.0,51.0,42.0,,80.0,35.0,45.0
SDIP-PREF,21.0,47.0,64.0,32.0,70.0,78.0,66.0,,83.0,55.0,54.0,67.0
VOLO,96.0,63.0,54.0,42.0,78.0,75.0,26.0,27.0,23.0,49.0,18.0,80.0
VOLO-PREF,96.0,63.0,54.0,42.0,78.0,75.0,4.0,,83.0,54.0,45.0,64.0
XANO-B,94.0,55.0,56.0,19.0,65.0,60.0,50.0,,21.0,10.0,89.0,44.0
ARISE,,15.0,89.0,98.0,58.0,51.0,79.0,71.0,61.0,52.0,46.0,40.0
ARP,,22.0,47.0,14.0,54.0,49.0,58.0,67.0,96.0,76.0,21.0,12.0
BEIA-B,55.0,55.0,74.0,32.0,85.0,83.0,35.0,26.0,23.0,46.0,81.0,86.0
