Ticker,Basic_EPS_TTM,Total_Revenue_TTM
NIBE-B,1.2000000000000002,40700000000.0
NICA,-0.99,20412000.0
NICO,-0.26,442000.0
NIL-B,4.4,936186000.0
NIO,-0.32,0.0
NITRO,0.02,11152650.0
NIVI-B,1.79,747867000.0
NJOB,0.38,5026000.0
NMAN,8.15,5880500000.0
NNH,0.8,565999000.0
NOBI,-1.7200000000000002,10159000000.0
NOLA-B,2.75,9631000000.0
NORB-B,0.221564,3397000000.0
NORION,6.779999999999999,3778000000.0
NOSA,-0.04,17509000.0
NOTE,8.99,3817000000.0
NOTEK,0.8599999999999999,107333000.0
NP3,14.16,2129000000.0
NP3-PREF,,2129000000.0
NPAPER,5.6,4659000000.0
NREST,7.39,1956341000.0
NTEK-B,6.9,505200000.0
NXTCL,-0.36,9980340.0
NYAB,0.01,393477000.0
NYF,0.68,3644000000.0
OBAB,0.0199999999999999,380745000.0
OBSE,-0.0273129999999999,62935000.0
OEM-B,4.29,5287000000.0
OGUN-B,1.4500000000000002,452700000.0
ONCO,-1.45,39843000.0
ONCOZ,-0.54,2713000.0
ONEF,-2.95,144184000.0
OODA,,586000.0
OPTER,2.84,94199000.0
OPTI,-1.089261,24043000.0
ORES,15.170000000000002,689500000.0
ORGC,-0.24,115670000.0
ORRON,-0.11,22500000.0
ORT-B,0.3099999999999999,84673069.0
ORTI-A,-0.5700000000000001,76502000.0
ORTI-B,-0.5700000000000001,76502000.0
ORX,-6.19,561200000.0
OSSD,-0.5,151404000.0
OVZON,-1.09,359000000.0
OXE,-0.139556,201269000.0
PACT,6.470000000000001,4788300000.0
PADEL,-0.301409,93000.0
PAX,1.16,261516000.0
PCELL,0.020942,420021000.0
PCOM-B,-0.0315639999999999,188700000.0
PDX,6.28,2065289000.0
PEAB-B,5.39,58793000000.0
PERP-B,-1.3006,8793000.0
PIERCE,-0.2999999999999999,1673000000.0
PILA,,366000.0
PION-B,-1.39,1510600000.0
PLAZ-B,3.4000000000000004,1735000000.0
PLUN,-9.02,13973000.0
PNDX-B,6.93,7190000000.0
POLYG,-0.322069,166397000.0
PRCO-B,0.482759,169531000.0
PREC,-0.16,85176000.0
PREV-B,5.04,1623379000.0
PRFO,2.22,699000000.0
PRIC-B,0.2,2220800000.0
PRISMA,1.41,474000000.0
PRO,-0.72,44096000.0
PROF-B,12.18,2439000000.0
PTRK,-0.41,15181534.0
QAIR,-0.45,447546000.0
QBEN,-3.764854,1092029000.0
QCORE,-5.1,10208000.0
QIIWI,-0.62,18696000.0
QLIFE,-20.789607,199000.0
QLINEA,-144.605694,5491000.0
QLIRO,-1.9300000000000004,515500000.0
QLOSR-B,-0.8039000000000001,-157117000.0
QSYS,0.3117,108188000.0
RAIL,1.16,627247000.0
RAKE,-1.092,42839000.0
RATO-A,1.11,28314000000.0
RATO-B,1.11,28314000000.0
RAY-B,5.630000000000001,1252532000.0
REALFI,-0.8900000000000001,16414000.0
REFINE,-2.23,224134000.0
REJL-B,9.69,4595500000.0
RESURS,0.5,3633442000.0
RIGHTB,-0.021,1320000.0
RO,-0.06,41848000.0
ROKO-B,53.594668,6325000000.0
RROS,-1.2339,2700000000.0
RUG,2.73,715990000.0
RUSTA,3.1,11828000000.0
RVRC,2.5500000000000003,1925000000.0
S2M,0.009954,9374000.0
SAAB-B,9.71,69974000000.0
SAFETY-B,-0.1,328373000.0
