Ticker,Metric,Values
SAGA-B,Bruttomarginal_ttm,0.9198184568835098
SAGA-B,Rörelsemarginal_ttm,0.7933055975794251
SAGA-B,Vinstmarginal_ttm,0.8606278366111951
SAGA-B,PE_tal_ttm,16.645669291338585
SAGA-B,PB_tal_ttm,1.6316883033274783
SAGA-B,EV_EBITDA_ttm,16.907234978364116
SAGA-B,Rörelseflödesmarginal_ttm,0.663767019667171
SAGA-B,Kassaflöde_till_Skuld_ttm,0.09584402817978264
SAGA-D,ROE_ttm,0.11258999035154994
SAGA-D,ROIC_ttm,0.07168864176823654
SAGA-D,Soliditet_ttm,0.47880833925610045
SAGA-D,Skuldsättningsgrad_ttm,0.9060142005393236
SAGA-D,Bruttomarginal_ttm,0.9198184568835098
SAGA-D,Rörelsemarginal_ttm,0.7933055975794251
SAGA-D,Vinstmarginal_ttm,0.8606278366111951
SAGA-D,PE_tal_ttm,2.6968503937007875
SAGA-D,PB_tal_ttm,0.10698496449865169
SAGA-D,EV_EBITDA_ttm,6.743970852572559
SAGA-D,Rörelseflödesmarginal_ttm,0.663767019667171
SAGA-D,Kassaflöde_till_Skuld_ttm,0.09584402817978264
WALL-B,ROE_ttm,0.029949057399656056
WALL-B,ROIC_ttm,0.023922453866096722
WALL-B,Soliditet_ttm,0.43101085253971805
WALL-B,Skuldsättningsgrad_ttm,1.0898147246828256
WALL-B,Bruttomarginal_ttm,0.8595988538681948
WALL-B,Rörelsemarginal_ttm,0.6010824578159821
WALL-B,Vinstmarginal_ttm,0.2938554600445718
WALL-B,PE_tal_ttm,29.813333333333333
WALL-B,PB_tal_ttm,0.8372575359356241
WALL-B,EV_EBITDA_ttm,29.621787319021468
WALL-B,Rörelseflödesmarginal_ttm,0.43966889525628783
WALL-B,Kassaflöde_till_Skuld_ttm,0.041117098877541905
WIHL,ROE_ttm,0.08216737637959502
WIHL,ROIC_ttm,0.048630549551784
WIHL,Soliditet_ttm,0.3577324234840595
WIHL,Skuldsättningsgrad_ttm,1.4526809767967324
WIHL,Bruttomarginal_ttm,0.7205466540999057
WIHL,Rörelsemarginal_ttm,0.6981621112158342
WIHL,Vinstmarginal_ttm,0.44557021677662584
WIHL,PE_tal_ttm,15.528455284552845
WIHL,PB_tal_ttm,1.2757138812896496
WIHL,EV_EBITDA_ttm,17.377577573333333
WIHL,Rörelseflödesmarginal_ttm,0.45876531573986806
WIHL,Kassaflöde_till_Skuld_ttm,0.05823761665470208
BURE,ROE_ttm,-0.14064472278862025
BURE,ROIC_ttm,
BURE,Soliditet_ttm,0.998497261137234
BURE,Skuldsättningsgrad_ttm,
BURE,Bruttomarginal_ttm,0.7526881720430108
BURE,Rörelsemarginal_ttm,-10.397849462365592
BURE,Vinstmarginal_ttm,-10.383512544802867
BURE,PE_tal_ttm,-7.256908904810646
BURE,PB_tal_ttm,1.020878711797262
BURE,EV_EBITDA_ttm,
BURE,Rörelseflödesmarginal_ttm,0.6523297491039427
BURE,Kassaflöde_till_Skuld_ttm,
EQT,ROE_ttm,
EQT,ROIC_ttm,
EQT,Soliditet_ttm,
EQT,Skuldsättningsgrad_ttm,
EQT,Bruttomarginal_ttm,
EQT,Rörelsemarginal_ttm,
EQT,Vinstmarginal_ttm,
EQT,PE_tal_ttm,
EQT,PB_tal_ttm,
EQT,EV_EBITDA_ttm,
EQT,Rörelseflödesmarginal_ttm,
EQT,Kassaflöde_till_Skuld_ttm,
INDU-A,ROE_ttm,0.07936882626380011
INDU-A,ROIC_ttm,
INDU-A,Soliditet_ttm,0.9605581395348837
INDU-A,Skuldsättningsgrad_ttm,
INDU-A,Bruttomarginal_ttm,
INDU-A,Rörelsemarginal_ttm,
INDU-A,Vinstmarginal_ttm,0.996277161525604
INDU-A,PE_tal_ttm,12.31478432663813
INDU-A,PB_tal_ttm,0.5366085791206663
INDU-A,EV_EBITDA_ttm,
INDU-A,Rörelseflödesmarginal_ttm,
INDU-A,Kassaflöde_till_Skuld_ttm,
