Metric,Date,Value,Ticker,Segment,CAGR_Dimension
Basic EPS,2022-12-31,0.0,CORE-PREF,income_statement,Basic EPS
Basic EPS,2023-12-31,0.0,CORE-PREF,income_statement,Basic EPS
Basic EPS,2024-12-31,0.0,CORE-PREF,income_statement,Basic EPS
Total Revenue,2021-12-31,2951000000.0,FABG,income_statement,Total Revenue
Total Revenue,2022-12-31,3327000000.0,FABG,income_statement,Total Revenue
Total Revenue,2023-12-31,3930000000.0,FABG,income_statement,Total Revenue
Total Revenue,2024-12-31,3671000000.0,FABG,income_statement,Total Revenue
Basic EPS,2021-12-31,16.73,FABG,income_statement,Basic EPS
Basic EPS,2022-12-31,7.49,FABG,income_statement,Basic EPS
Basic EPS,2023-12-31,-17.54,FABG,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.68,FABG,income_statement,Basic EPS
Total Revenue,2021-12-31,1856300000.0,FPAR-A,income_statement,Total Revenue
Total Revenue,2022-12-31,1997500000.0,FPAR-A,income_statement,Total Revenue
Total Revenue,2023-12-31,2208700000.0,FPAR-A,income_statement,Total Revenue
Total Revenue,2024-12-31,2293400000.0,FPAR-A,income_statement,Total Revenue
Basic EPS,2021-12-31,17.92,FPAR-A,income_statement,Basic EPS
Basic EPS,2022-12-31,0.01,FPAR-A,income_statement,Basic EPS
Basic EPS,2023-12-31,-8.75,FPAR-A,income_statement,Basic EPS
Basic EPS,2024-12-31,3.14,FPAR-A,income_statement,Basic EPS
Total Revenue,2021-12-31,1856300000.0,FPAR-D,income_statement,Total Revenue
Total Revenue,2022-12-31,1997500000.0,FPAR-D,income_statement,Total Revenue
Total Revenue,2023-12-31,2208700000.0,FPAR-D,income_statement,Total Revenue
Total Revenue,2024-12-31,2293400000.0,FPAR-D,income_statement,Total Revenue
Basic EPS,2021-12-31,17.92,FPAR-D,income_statement,Basic EPS
Basic EPS,2022-12-31,0.01,FPAR-D,income_statement,Basic EPS
Basic EPS,2023-12-31,-8.75,FPAR-D,income_statement,Basic EPS
Basic EPS,2024-12-31,3.14,FPAR-D,income_statement,Basic EPS
Total Revenue,2021-12-31,728100000.0,HEM,income_statement,Total Revenue
Total Revenue,2022-12-31,889200000.0,HEM,income_statement,Total Revenue
Total Revenue,2023-12-31,1004700000.0,HEM,income_statement,Total Revenue
Total Revenue,2024-12-31,1394600000.0,HEM,income_statement,Total Revenue
Basic EPS,2021-12-31,1.55,HEM,income_statement,Basic EPS
Basic EPS,2022-12-31,2.93,HEM,income_statement,Basic EPS
Basic EPS,2023-12-31,3.47,HEM,income_statement,Basic EPS
Basic EPS,2024-12-31,5.01,HEM,income_statement,Basic EPS
Total Revenue,2021-12-31,2487900000.0,HUFV-A,income_statement,Total Revenue
Total Revenue,2022-12-31,2745800000.0,HUFV-A,income_statement,Total Revenue
Total Revenue,2023-12-31,2961600000.0,HUFV-A,income_statement,Total Revenue
Total Revenue,2024-12-31,3179200000.0,HUFV-A,income_statement,Total Revenue
Basic EPS,2021-12-31,14.61,HUFV-A,income_statement,Basic EPS
Basic EPS,2022-12-31,3.57,HUFV-A,income_statement,Basic EPS
Basic EPS,2023-12-31,-9.53,HUFV-A,income_statement,Basic EPS
Basic EPS,2024-12-31,1.8,HUFV-A,income_statement,Basic EPS
Total Revenue,2021-12-31,1238000000.0,NP3,income_statement,Total Revenue
Total Revenue,2022-12-31,1551000000.0,NP3,income_statement,Total Revenue
Total Revenue,2023-12-31,1797000000.0,NP3,income_statement,Total Revenue
Total Revenue,2024-12-31,1992000000.0,NP3,income_statement,Total Revenue
Basic EPS,2021-12-31,35.82,NP3,income_statement,Basic EPS
Basic EPS,2022-12-31,21.04,NP3,income_statement,Basic EPS
Basic EPS,2023-12-31,-2.43,NP3,income_statement,Basic EPS
Basic EPS,2024-12-31,14.17,NP3,income_statement,Basic EPS
