Rank,Values,Ticker
Rörelsemarginal_trend_ratioRank,50.0,SEB-A
Vinstmarginal_latest_ratioRank,93.5506241331484,SEB-A
Vinstmarginal_trend_ratioRank,61.458333333333336,SEB-A
PE_tal_latest_ratioRank,50.0,SEB-A
PE_tal_trend_ratioRank,50.0,SEB-A
PB_tal_latest_ratioRank,50.0,SEB-A
PB_tal_trend_ratioRank,50.0,SEB-A
EV_EBITDA_latest_ratioRank,50.0,SEB-A
EV_EBITDA_trend_ratioRank,50.0,SEB-A
Rörelseflödesmarginal_latest_ratioRank,18.39160839160839,SEB-A
Rörelseflödesmarginal_trend_ratioRank,5.2521008403361344,SEB-A
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,SEB-A
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,SEB-A
Kassaflode_till_Skuld_latest_ratioRank,23.54368932038835,SEB-A
Kassaflode_till_Skuld_trend_ratioRank,24.230145867098866,SEB-A
ROE_latest_ratioRank,79.12303664921467,SEB-C
ROE_trend_ratioRank,71.49410222804718,SEB-C
ROIC_latest_ratioRank,50.0,SEB-C
ROIC_trend_ratioRank,50.0,SEB-C
Soliditet_latest_ratioRank,5.4319371727748695,SEB-C
Soliditet_trend_ratioRank,58.51900393184797,SEB-C
Skuldsättningsgrad_latest_ratioRank,2.644230769230769,SEB-C
Skuldsättningsgrad_trend_ratioRank,30.096308186195824,SEB-C
Räntetäckningsgrad_latest_ratioRank,50.0,SEB-C
Räntetäckningsgrad_trend_ratioRank,50.0,SEB-C
Bruttomarginal_latest_ratioRank,50.0,SEB-C
Bruttomarginal_trend_ratioRank,50.0,SEB-C
Rörelsemarginal_latest_ratioRank,50.0,SEB-C
Rörelsemarginal_trend_ratioRank,50.0,SEB-C
Vinstmarginal_latest_ratioRank,93.5506241331484,SEB-C
Vinstmarginal_trend_ratioRank,61.458333333333336,SEB-C
PE_tal_latest_ratioRank,50.0,SEB-C
PE_tal_trend_ratioRank,50.0,SEB-C
PB_tal_latest_ratioRank,50.0,SEB-C
PB_tal_trend_ratioRank,50.0,SEB-C
