Ticker,Year,Value
WIHL,2018,1.5625
WIHL,2020,2.25
WIHL,2021,2.625
WIHL,2022,3.0
WIHL,2023,3.1
WIHL,2024,3.15
WIHL,2025,3.2
BURE,2000,20.79136
BURE,2001,20.79136
BURE,2002,12.128294
BURE,2008,1.0
BURE,2010,9.8
BURE,2012,0.3
BURE,2013,0.5
BURE,2014,1.0
BURE,2015,1.0
BURE,2016,2.0
BURE,2017,2.0
BURE,2018,2.0
BURE,2019,2.0
BURE,2020,1.0
BURE,2021,2.0
BURE,2022,2.25
BURE,2023,2.25
BURE,2024,2.5
BURE,2025,2.75
INDU-A,2000,3.1
INDU-A,2001,4.2
INDU-A,2002,4.175
INDU-A,2003,2.9
INDU-A,2004,2.75
INDU-A,2005,3.0
INDU-A,2006,3.5
INDU-A,2007,4.5
INDU-A,2008,5.0
INDU-A,2009,4.5
INDU-A,2010,3.0
INDU-A,2011,4.0
INDU-A,2012,4.5
INDU-A,2013,5.0
INDU-A,2014,5.5
INDU-A,2015,6.25
INDU-A,2016,5.0
INDU-A,2017,5.25
INDU-A,2018,5.5
INDU-A,2019,5.75
INDU-A,2021,8.25
INDU-A,2022,6.75
INDU-A,2023,7.25
INDU-A,2024,7.75
INDU-A,2025,8.25
INDU-C,2000,3.1
INDU-C,2001,4.2
INDU-C,2002,4.175
INDU-C,2003,2.9
INDU-C,2004,2.75
INDU-C,2005,3.0
INDU-C,2006,3.5
INDU-C,2007,4.5
INDU-C,2008,5.0
INDU-C,2009,4.5
INDU-C,2010,3.0
INDU-C,2011,4.0
INDU-C,2012,4.5
INDU-C,2013,5.0
INDU-C,2014,5.5
INDU-C,2015,6.25
INDU-C,2016,5.0
INDU-C,2017,5.25
INDU-C,2018,5.5
INDU-C,2019,5.75
INDU-C,2021,8.25
INDU-C,2022,6.75
INDU-C,2023,7.25
INDU-C,2024,7.75
INDU-C,2025,8.25
INVE-A,2000,0.85
INVE-A,2001,1.375
INVE-A,2002,1.375
INVE-A,2003,0.85
INVE-A,2004,0.5625
INVE-A,2005,0.5625
INVE-A,2007,1.125
INVE-A,2008,1.1875
INVE-A,2009,1.0
INVE-A,2010,1.0
INVE-A,2011,1.25
INVE-A,2012,1.5
INVE-A,2013,1.75
INVE-A,2014,2.0
INVE-A,2015,2.25
INVE-A,2016,2.5
INVE-A,2017,2.75
INVE-A,2018,3.0
INVE-A,2019,3.25
INVE-A,2020,2.25
INVE-A,2021,3.5
INVE-A,2022,4.0
INVE-A,2023,4.4
INVE-A,2024,4.8
INVE-A,2025,5.2
INVE-B,2000,0.85
INVE-B,2001,1.375
INVE-B,2002,1.375
INVE-B,2003,0.85
INVE-B,2004,0.5625
INVE-B,2005,0.5625
INVE-B,2006,0.875
INVE-B,2007,1.125
INVE-B,2008,1.1875
INVE-B,2009,1.0
INVE-B,2010,1.0
INVE-B,2011,1.25
INVE-B,2012,1.5
INVE-B,2013,1.75
INVE-B,2014,2.0
INVE-B,2015,2.25
INVE-B,2016,2.5
INVE-B,2017,2.75
INVE-B,2018,3.0
INVE-B,2019,3.25
INVE-B,2020,2.25
INVE-B,2021,3.5
INVE-B,2022,4.0
INVE-B,2023,4.4
INVE-B,2024,4.8
INVE-B,2025,5.2
KINV-A,2000,0.3
KINV-A,2001,0.6
KINV-A,2003,0.3
KINV-A,2005,0.25
KINV-A,2006,1.6
KINV-A,2007,1.7
KINV-A,2008,2.0
KINV-A,2009,2.0
KINV-A,2010,3.0
KINV-A,2011,4.5
KINV-A,2012,5.5
KINV-A,2013,6.5
KINV-A,2014,7.0
KINV-A,2015,7.25
KINV-A,2016,7.75
KINV-A,2017,8.0
KINV-A,2018,8.25
KINV-A,2019,8.25
KINV-A,2020,7.0
KINV-B,2000,0.3
KINV-B,2001,0.6
KINV-B,2002,0.3
KINV-B,2003,0.3
KINV-B,2005,0.25
KINV-B,2006,1.6
KINV-B,2007,1.7
KINV-B,2008,2.0
KINV-B,2009,2.0
KINV-B,2010,3.0
KINV-B,2011,4.5
KINV-B,2012,5.5
KINV-B,2013,6.5
KINV-B,2014,7.0
KINV-B,2015,7.25
KINV-B,2016,7.75
KINV-B,2017,8.0
KINV-B,2018,8.25
KINV-B,2019,8.25
KINV-B,2020,7.0
LATO-B,2000,0.291667
LATO-B,2001,0.408333
LATO-B,2002,0.708333
LATO-B,2003,0.591667
LATO-B,2005,0.5
LATO-B,2006,0.583333
LATO-B,2007,0.708333
LATO-B,2008,1.75
LATO-B,2009,0.9375
LATO-B,2010,1.375
