Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2023-10-18,1052.3159283206262,1059.0730574001295,1043.9689221929586,1045.956298828125,331570,0.0,0.0,1088.44638671875,1148.361806640625,-5.217468882664187,35.017952104281036
2023-10-19,1038.4043022144645,1051.5209396172356,1037.8081134779466,1039.5966796875,342394,0.0,0.0,1084.97841796875,1143.9140600585938,-5.152104003934096,34.00128790128031
2023-10-20,1030.6533829489156,1031.2496929263843,1016.5430586122562,1022.5051879882812,581836,0.0,0.0,1080.1888336181642,1139.7008190917968,-5.221719987975132,31.365712255110623
2023-10-23,1027.2748772460843,1038.8016357421875,1018.927872369656,1038.8016357421875,576666,0.0,0.0,1077.2475128173828,1135.8373571777345,-5.15829524272141,36.42580688400592
2023-10-24,1053.905782619017,1073.1833598239714,1044.763898814527,1066.82373046875,644850,0.0,0.0,1076.6314239501953,1132.9079650878907,-4.9674415638281335,44.06261686194733
2023-10-25,1066.2274038125656,1066.2274038125656,1045.7574518203974,1046.9498291015625,556455,0.0,0.0,1075.7271575927734,1129.9229211425782,-4.796412439797394,40.3596819412665
2023-10-26,989.0178976495963,1005.811253242101,929.0985086344891,983.5526123046875,1742931,0.0,0.0,1070.579849243164,1126.2144738769532,-4.939967113215029,31.31812386518176
2023-10-27,980.8696609087398,999.4516435712478,966.3618365176453,970.5353393554688,555733,0.0,0.0,1064.1357788085938,1122.5875122070313,-5.206875434015838,29.83994151913555
2023-10-30,973.5163988488214,1006.8049555040026,967.0574251694578,999.05419921875,389464,0.0,0.0,1059.4654418945313,1119.3480883789061,-5.34977877802961,36.870086758487375
2023-10-31,998.0605074831451,1007.4011406892695,985.2419047349472,985.639404296875,381726,0.0,0.0,1054.7404541015626,1115.585986328125,-5.454131996300111,35.08901235821949
2023-11-01,986.73248670365,987.7261750084875,971.3303179786685,983.2545776367188,393689,0.0,0.0,1050.3235137939453,1111.7046398925781,-5.521351975697791,34.76746980810924
2023-11-02,993.4894898956587,1018.9279452212525,984.5462957385964,1003.6251220703125,440304,0.0,0.0,1045.9711639404297,1108.469190673828,-5.638228582195086,39.83871827318416
2023-11-03,1016.3443685106602,1034.4295074764475,1013.7608032226562,1013.7608032226562,213865,0.0,0.0,1041.2213317871094,1105.4165795898436,-5.807335351036022,42.244621139180936
2023-11-06,1024.4926451806207,1026.6787109375,1011.1771975982272,1026.6787109375,360586,0.0,0.0,1037.6341186523437,1102.3599951171875,-5.871573419893843,45.24980206558103
2023-11-07,1013.5620287380426,1021.9090344111468,1009.5872756841679,1017.1392822265625,347803,0.0,0.0,1031.1254638671876,1098.6555249023438,-6.146609151322364,43.45175768048385
2023-11-08,1013.3632727293646,1020.5178403123657,1008.7923310054593,1011.5746459960938,443487,0.0,0.0,1027.001657104492,1095.1815881347657,-6.22544532970032,42.393522194683456
2023-11-09,1005.612497775195,1024.8900738699826,992.9926450110763,1016.1455688476562,856441,0.0,0.0,1023.2156982421875,1091.9302416992186,-6.292942610518808,43.608423512810525
2023-11-10,1003.6251465339112,1004.0226460994365,985.1425690854322,991.8002319335938,549399,0.0,0.0,1019.4148406982422,1087.9733752441407,-6.301490101310063,38.90251054196339
2023-11-13,1034.628100699929,1058.2779282742522,1026.0824064780559,1027.87109375,1073228,0.0,0.0,1017.4075897216796,1084.6743298339843,-6.20156099044035,47.87732737504782
2023-11-14,1028.0699411013416,1079.7417352235032,1015.3507423704866,1078.748046875,1018357,0.0,0.0,1018.5006500244141,1082.5080920410155,-5.9128834682351945,57.385711706983116
2023-11-15,1078.7478986122053,1085.7037160957216,1062.4513876765727,1073.3819580078125,709183,0.0,0.0,1019.8719329833984,1080.226580810547,-5.587221134834641,56.22078551506983
2023-11-16,1069.8047247213378,1070.798412951861,1043.3726420493867,1043.7701416015625,422331,0.0,0.0,1020.0806060791016,1077.5316979980469,-5.3317310317352185,50.168522171750034
2023-11-17,1048.3411270008985,1063.8426397847356,1048.1424378664258,1061.457763671875,413257,0.0,0.0,1022.0282348632812,1074.8129675292969,-4.911062134591977,53.39579093580083
2023-11-20,1065.8299980236325,1083.716386613139,1052.5145511470325,1082.9215087890625,424970,0.0,0.0,1024.234228515625,1072.7898205566407,-4.526104844639699,57.03237361804234
2023-11-21,1079.1453403688827,1086.8961565268207,1049.7321951307638,1053.3094482421875,608208,0.0,0.0,1023.5585144042968,1070.2459777832032,-4.362311501100893,51.107234946016106
2023-11-22,1052.7133458452593,1078.9467396444481,1044.5650294963582,1071.1959228515625,709117,0.0,0.0,1024.770819091797,1067.9525451660156,-4.043412440906348,54.20224501759047
2023-11-23,1070.4008954008093,1091.0696587680786,1066.2274534227215,1082.12646484375,461681,0.0,0.0,1029.69951171875,1065.4246008300781,-3.3531316137711173,56.03387315436116
2023-11-24,1091.069761547411,1125.2526635826353,1091.069761547411,1103.5902099609375,624132,0.0,0.0,1036.3522552490235,1063.4610705566406,-2.549112145066832,59.46234238462071
2023-11-27,1103.5902359350077,1107.7637997043068,1082.5240918418235,1083.3189697265625,716747,0.0,0.0,1040.565493774414,1061.354454345703,-1.9587198683878704,55.09279591810914
2023-11-28,1080.1392268279853,1084.1139801925779,1068.0162775859171,1076.95947265625,352005,0.0,0.0,1045.1314971923828,1059.7009606933593,-1.3748655556038938,53.75815079319035
2023-11-29,1096.0380804405434,1105.3787737450614,1090.8709503400842,1094.845703125,484392,0.0,0.0,1050.7110534667968,1058.3972399902343,-0.7262099930937506,56.91922867495549
2023-11-30,1093.057068711754,1099.2178873063774,1079.9404324071468,1080.53662109375,805175,0.0,0.0,1054.5566284179688,1057.8288513183593,-0.30933386779083943,53.75342637932134
2023-12-01,1070.9973133110384,1096.0382103030104,1066.823749612481,1087.8900146484375,681340,0.0,0.0,1058.2630889892578,1057.220714111328,0.09859576756456698,55.13444195711581
2023-12-04,1087.8899357060902,1113.3283304376887,1085.7037487941022,1096.8331298828125,623874,0.0,0.0,1061.7708099365234,1057.204815673828,0.4318930631984585,56.82315411203867
2023-12-05,1087.0949226047169,1112.7321274347064,1087.0949226047169,1110.7447509765625,469566,0.0,0.0,1066.4510833740235,1057.8368005371094,0.8143300396186092,59.38416563052692
2023-12-06,1112.930809534073,1130.817197544442,1108.757367518253,1117.7005615234375,668537,0.0,0.0,1071.7573791503905,1058.890108642578,1.2151658045335216,60.64122805618021
2023-12-07,1110.7447447418424,1124.0600698968,1095.64061096483,1109.55224609375,790353,0.0,0.0,1076.4277130126952,1059.3511779785156,1.6119805583985451,58.36246149693667
2023-12-08,1112.9308810583875,1149.2998480901492,1111.7385036343323,1141.350341796875,607512,0.0,0.0,1083.9052185058595,1060.1898498535156,2.236898292850148,64.0412353725948
2023-12-11,1141.3502549132847,1161.2240191336095,1140.5553771243701,1148.5048828125,709002,0.0,0.0,1089.9369079589844,1061.3107287597657,2.6972476979169864,65.19155748677561
2023-12-12,1148.5049500307207,1154.467079645762,1135.1895029638276,1154.069580078125,619771,0.0,0.0,1093.7029846191406,1062.7893371582031,2.9087276640916992,66.09992137271732
